trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
161,False,"{'a': 0.6, 'e': 0.20027702685748933}",20,7,12.66233708550335,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.6, 'e': 0.19827425658891443}",20,11,-14.305007558718952,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.6, 'e': 0.19629151402302528}",20,9,-14.69306582947403,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
164,False,"{'a': 0.6, 'e': 0.19432859888279502}",25,0,-75.06470386683667,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
165,False,"{'a': 0.6, 'e': 0.19238531289396707}",20,0,-17.724356807569958,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
166,False,"{'a': 0.6, 'e': 0.1904614597650274}",20,10,-6.102658556361208,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.6, 'e': 0.1885568451673771}",30,0,-80.77757242962736,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
168,False,"{'a': 0.6, 'e': 0.18667127671570335}",25,0,15.942828081270381,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
169,False,"{'a': 0.6, 'e': 0.1848045639485463}",25,8,27.51231957956601,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.6, 'e': 0.18295651830906084}",25,12,-70.2204958905804,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 1}",1
171,False,"{'a': 0.6, 'e': 0.18112695312597024}",30,13,-95.7085020739308,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
172,False,"{'a': 0.6, 'e': 0.17931568359471053}",25,0,-22.980017589362653,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
173,False,"{'a': 0.6, 'e': 0.17752252675876343}",25,12,22.578294063595155,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.6, 'e': 0.1757473014911758}",20,10,21.61819580405182,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
